Original,Code,Office
9 0403 KAMUWONGO,9 0403,KAMUWONGO
0 1034 KANDARA,0 1034,KANDARA
4 0304 KANDIEGE,4 0304,KANDIEGE
1 0218 KANGARI,1 0218,KANGARI
1 0202 KANGEMA,1 0202,KANGEMA
9 0115 KANGUNDO,9 0115,KANGUNDO
6 0118 KANJA,6 0118,KANJA
0 1004 KANJUKU,0 1004,KANJUKU
6 0206 KANYAKINE,6 0206,KANYAKINE
3 0304 KAPCHENO,3 0304,KAPCHENO
3 0204 KAPCHEROP,3 0204,KAPCHEROP
3 0600 KAPENGURIA,3 0600,KAPENGURIA
3 0300 KAPSABET,3 0300,KAPSABET
30208 KAPSARA,30208,KAPSARA
2 0214 KAPKATET,2 0214,KAPKATET
2 0211 KAPSOIT,2 0211,KAPSOIT
5 0203 KAPSOKWONY,5 0203,KAPSOKWONY
3 0705 KAPSOWAR,3 0705,KAPSOWAR
3 0114 KAPTAGAT,3 0114,KAPTAGAT
3 0701 KAPTARAKWA,3 0701,KAPTARAKWA
6 0105 KARABA,6 0105,KARABA
2 0328 KARANDI,2 0328,KARANDI
1 0101 KARATINA,1 0101,KARATINA
4 0401 KARUNGU,4 0401,KARUNGU
0 0219 KARURI,0 0219,KARURI
6 0117 KARURUMO,6 0117,KARURUMO
9 0123 KASIKEU,9 0123,KASIKEU
9 0106 KATANGI,9 0106,KATANGI
9 0105 KATHIANI,9 0105,KATHIANI
9 0302 KATHONZWENI,9 0302,KATHONZWENI
6 0406 KATHWANA,6 0406,KATHWANA
4 0118 KATITO,4 0118,KATITO
9 0107 KAVIANI,9 0107,KAVIANI
4 0506 KEBIRIGO,4 0506,KEBIRIGO
2 0220 KEDOWA,2 0220,KEDOWA
9 0108 KOLA,9 0108,KOLA
4 0102 KOMBEWA,4 0102,KOMBEWA
4 0103 KONDELE,4 0103,KONDELE
1 0234 KORA,1 0234,KORA
4 0104 KORU,4 0104,KORU
4 0332 KOSELE,4 0332,KOSELE
5 0117 KOYONZO,5 0117,KOYONZO
6 0125 KUBU KUBU,6 0125,KUBU KUBU
1 0304 KUTUS,1 0304,KUTUS
8 0403 KWALE,8 0403,KWALE
9 0220 KYATUNE,9 0220,KYATUNE
9 0209 KYENI,9 0209,KYENI
9 0401 KYUSO,9 0401,KYUSO
6 0601 LAARE,6 0601,LAARE
2 0330 LAIKIPIA CAMPUS,2 0330,LAIKIPIA CAMPUS
60502 LAISAMIS,60502,LAISAMIS
8 0500 LAMU,8 0500,LAMU
2 0112 LANET,2 0112,LANET
3 0112 LANGAS,3 0112,LANGAS
3 0302 LESSOS,3 0302,LESSOS
0 0217 LIMURU,0 0217,LIMURU
2 0210 LITEIN,2 0210,LITEIN
3 0500 LODWAR,3 0500,LODWAR
0 0209 LOITOKITOK,0 0209,LOITOKITOK
6 0501 LOIYANGALANI,6 0501,LOIYANGALANI
3 0503 LOKICHOGGIO,3 0503,LOKICHOGGIO
3 0504 LOKITAUNG,3 0504,LOKITAUNG
4 0701 LOLGORIAN,4 0701,LOLGORIAN
2 0203 LONDIANI,2 0203,LONDIANI
2 0402 LONGISA,2 0402,LONGISA
5 0307 LUANDA,5 0307,LUANDA
5 0240 LUANDETI,5 0240,LUANDETI
5 0118 LUBAO,5 0118,LUBAO
5 0108 LUGARI,5 0108,LUGARI
5 0218 LUGULU,5 0218,LUGULU
4 0623 LUHANO,4 0623,LUHANO
